damageStats_blue,goldPerSecond_blue,jungleMinionsKilled_blue,level_blue,minionsKilled_blue,totalGold_blue,xp_blue,kill_blue,death_blue,assi_blue,tower_blue,tower_shield_blue,win_blue,damageStats_red,goldPerSecond_red,jungleMinionsKilled_red,level_red,minionsKilled_red,totalGold_red,xp_red,kill_red,death_red,assi_red,tower_red,tower_shield_red,win_red,dragon_blue,junr_blue,dragon_red,junr_red
33239,30,87,48,302,28606,30898,15.0,10.0,27.0,0.0,6.0,0.0,23875,30,101,46,325,27575,29331,10.0,15.0,9.0,1.0,8.0,1.0,1.0,0.0,1.0,1.0
29318,30,69,47,310,25562,29353,9.0,8.0,15.0,1.0,6.0,1.0,27051,30,78,46,337,23121,28995,8.0,9.0,12.0,0.0,2.0,0.0,1.0,1.0,1.0,0.0
46710,30,91,52,376,32801,35256,16.0,4.0,17.0,1.0,8.0,1.0,26428,30,82,43,339,21875,26405,4.0,16.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
36324,20,77,43,299,23478,25425,5.0,30.0,7.0,0.0,2.0,0.0,50089,30,94,50,393,38484,33729,30.0,5.0,45.0,4.0,15.0,1.0,0.0,0.0,1.0,1.0
25827,30,84,47,365,26014,29986,7.0,12.0,4.0,0.0,6.0,0.0,20475,30,92,49,380,28041,32676,12.0,7.0,8.0,1.0,10.0,1.0,1.0,0.0,0.0,1.0
24180,30,92,46,311,25612,29159,9.0,13.0,15.0,0.0,3.0,1.0,28153,20,96,48,337,29716,31825,13.0,9.0,9.0,3.0,15.0,0.0,1.0,0.0,0.0,1.0
29244,30,59,44,281,25831,26254,13.0,25.0,23.0,0.0,2.0,0.0,39418,30,102,48,342,34247,31721,25.0,13.0,25.0,3.0,15.0,1.0,0.0,0.0,1.0,1.0
20129,30,68,44,361,21703,27437,3.0,10.0,2.0,0.0,2.0,0.0,24251,30,88,47,362,27623,30455,10.0,3.0,8.0,1.0,7.0,1.0,1.0,0.0,0.0,1.0
29077,30,80,49,390,27192,32381,8.0,7.0,10.0,1.0,5.0,1.0,23797,30,108,48,383,26206,30362,7.0,8.0,2.0,2.0,5.0,0.0,0.0,0.0,1.0,1.0
29988,30,75,45,388,29333,28890,9.0,12.0,9.0,2.0,11.0,1.0,26652,30,65,44,272,25044,26514,12.0,10.0,17.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
