leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries,puuid
7f9ea75e-07e9-42d3-8697-04949caf333f,RANKED_SOLO_5x5,DIAMOND,I,38wFyyjDo4qKnbom-2m48kd-5-Lsbj12jxdjWTZIzQRd8-vC,유예비,94,250,246,True,False,False,False,,oKU9eajif6D2I9VU_Frk0scxmaJtr-gI8cJ9srwd7ysBrYycA8O1NgwwDmKpQEe_dT_9gCJulpgq7Q
7f6f5529-45f4-4b1a-a5f3-174706239404,RANKED_SOLO_5x5,DIAMOND,I,NVAG5FcJiorqAKep4kNJ7C-3lxlnR4s3Lo1Fz_4lcj6MfHk,새 찬송가,6,178,148,False,False,False,True,,nZ4eJB10_g3fJdac2M33cD-l1WmpaBXEWRjC55NulC-BfGvf1Me0aaV7puHel_Czjfad05ILXcjYKA
721961ee-aeea-43b6-8f0d-a7e88dd72354,RANKED_SOLO_5x5,DIAMOND,I,9CrMrAvOoOY8c5CADt20Vb5Bmxc0CFi6Mh81F-ZgR3ioCT3S,babyrage,22,371,332,True,False,False,False,,xDPj5dHh_2R5cCcIgK64eiir7rd851opcoFINh-50LZnnruNX1hn1ESiG6VYJ7YslAgynlkW8QCCtA
f4e3bf31-35b4-4492-9fef-71a60d5b09a4,RANKED_SOLO_5x5,DIAMOND,I,8DNmKN6lbS1pY_dBSEXj6wVbV-sfejdejDxz-OWg7Fv0aCt2,도구리 순한맛,61,296,219,False,False,False,False,,2jPKX2Z5zP07Tmu7CkjJx9uIOFFJMJ-YWc3Rh2ObB5RVpyO-sB2oR3zaLFHxaX6e-q_sDUlGO1gmTg
526359f8-0949-4a19-acaa-0292bfd3842e,RANKED_SOLO_5x5,DIAMOND,I,8OyPPPVTEYIx5S1qkffJekPMzqpparEOwOQHWVn2iX47rX-a,ShuVille,75,358,330,True,False,False,False,,TYKQjZkb8VVd-2pFQ9QCEXSIdINJfcniKqp9DpxzJVdJvygnAO1iB5om4mPefBINjbiG-ukQ8jE7bQ
f9c4236c-f878-4ce8-911c-c552dce77c66,RANKED_SOLO_5x5,DIAMOND,I,QOFe3Y2RxES8Y3N7gCIVie3UkFeYfmurcCxP6oNiWZaYya-T,Alaps,100,318,303,False,False,False,False,"{'target': 3, 'wins': 0, 'losses': 2, 'progress': 'LLNNN'}",Pyk2YvzXOA4wMDxY2cdgD7j8io5hF1mZG_rG3fxkpH2GScL2U9Re9ph2fx4ALU8t_1EuGC-4Z7qx-w
a0185cf0-1ed6-4f52-92ad-2ef82d458f71,RANKED_SOLO_5x5,DIAMOND,I,sUiH-EPxmEA4kr2LVc72rIEK7BlIdTJKlu52agOYl8cHigSY,카운트다운4,75,104,81,True,False,False,False,,yVSoSvWkxM7XTu2_GSePCIwYONUccmeI5JxkQWSxqNB-jpFNx54nbTrj1dZHypr8St6cyK3G1HAIhw
62703167-a248-47ee-9ca7-4bf53b040589,RANKED_SOLO_5x5,DIAMOND,I,jse4i9Df-C_5WBG_4AYWfGUYkBT0MX16Mdyh0uQ12WuCgpX-,시들어버렸어,35,887,840,False,False,True,False,,mvuVQyawaVwVfeWiH9yUuGPoPAAz2LY9UTX5ZbPHSH6rBRwt3uSGFfs7o4C5BMnSzxguQd7tPkAwMA
8935fb7c-836c-4189-808d-0f3874557ab7,RANKED_SOLO_5x5,DIAMOND,I,Uh2q8XL6cM4R3Zy1AaYgyaBCQQQpPKzQmFc98uCnxbOz0Ysm,capyau,29,418,417,False,False,False,False,,KPd7cwnCbGXCrEmYXd9gzQOeA3kLk-muQCFtoDL-hl1hD06vRDVRLMdaMfgrKmJ6fgld0BH89QGZ_g
9ec61aeb-8081-41bf-a199-2ea62b4d4e31,RANKED_SOLO_5x5,DIAMOND,I,JvQcMUGpDMnDZSYiT_bnFwqD4oBoeVhbfTS1qUTTCU68SmPE,질 듯,72,148,124,False,False,False,False,,OHQeAS3h_ZU6IRX-ljz6cgGO01meW2OG44d7xdMHaPvWPWOo_zzVyvrFdvq76Fk7RuKNXCCYL2C6Tg
