summonerId,summonerName,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,puuid
2C_UpgY6GUopGYkA8UH45Hr5YllpD0NQfa5Z2AkqRORDJ1Nj,DK Pullbae,811,I,817,757,False,False,True,False,TO2aUJHd7OLuGtPZYFVBRAi9zwy_Ta_f0puMo6C5gdOXI5NBnDKAQJWW6CTeioQ4tB9Apt4uQ_tZPw
u5a8f7w992rec8sTuipXMFAMqJ0bJhJfAAPOt2Kh4Y-DXDV8,KT Harp,1063,I,551,473,True,False,False,False,18B4H9QXiIW1JOfd12NtxBmHLjdlmEq8RbEo59GGUdwWTHjtWVt_1qB2D37YKoyq3mGdzzVwuI5M8w
LHazjzz0pxfoitoNQlO7va584328TxFioHqWF9EUR_TIPRva9m6ITDfmjw,깨달음을얻은남자,888,I,730,644,True,False,False,False,YViyWbGZ4sUnhc_WiURfh9DqkCwaO0z7P11ORa6-qvGBvPOz4KzWNxq7uiokcaPL2VX4wPh78HPzUw
ikldaKhAVN462SZ4HPw6_vP84J5M6m7eorJgmGLbjXs-0Pg,Gen G Khael,1037,I,456,402,True,False,False,False,I5bjzwy2xGn-VYKc8QP0yWXTMnz8lqnaM3oEhy2HpYdc6Z9nGuGDMbOvWW-HGyHlkfh3w_xhTxWC6w
pTovEwlctt6ku6CwjSo1Dk8gFLqa_oKRswRzwBfKGhNL76Gxqf_3Vb3eaQ,sao ma do duoc,772,I,1041,970,False,False,True,False,4DvyO41GMkgTzG3e3nqgVsLi2dcKSQjF-RCwjWAe-UzeMPmY2qZ06OM3m1j9sZITHvDwxoCHuRoVjQ
uDrlTo_v1Z9M5xQvWzM4nMQXBdw2KCkeFqiujp22OjFbK0k,디알엑스 제트,1206,I,1199,1116,True,False,False,True,Q4Dhpa3QI1aDpWRu7Gs_K-iOECF65ib5RN4ST4mKcbz2-RqSnGkzpotYDrgqmxi6JMvHLt4BV1YtQA
2Oy_aB_MIplWV3dLRupWbP3_fdOVXUqe6iLpGpdMwZMk8_3Th5VWBUncdw,q7mm,1032,I,531,470,True,False,False,False,uQqzzyoliA_e2iOGgQgsl1iMLQI5ryZJQL18h7-3TFg9v8hP8B0YuRbtp-c0QSiqtUkcEFbUVUD5Hg
9CoMGA1GRl1WwP9GP6sWR-NbTrMOWT_sBWJezByZ9O2Ex7o,K T,1124,I,385,310,False,False,False,False,Afk-EGak1YQbS97cTHqzTCyfgrqhZjenPKtoK2TswHPYFMqyohszkraOlIf484U3XEhSRtuhqlDAtA
OEx-tIfgR44BEGMO26i9QrXB2LoQoFO12Q14iwGCIqdj3YI,누쇤퍅,839,I,673,621,False,False,False,False,TzHkBBBXMjJlKTtztUnJzNkrPuanpfgWUrcnOxOZrBk04O-ZTFK1gkH8ybMdhhXxG5matP0cYyMXTA
XLwwXbo-WRtL8J5G_yNJcQr6tMWdkvJBDZN8xIgNzfPoLMGh,카사돌,1048,I,919,850,True,False,False,False,xOrKHNEvJpphAPAnAmkna9UMv7cwMZVrOpSq5_X0cKvLPk3jjguTxOEpcBc9zUH8QcXQk5j5m-qQew
mAqz9PfVrywLSTuGUl0iDzQpqESHnZBC_QSo5l4pkr5yQvg,Savage,838,I,1269,1199,True,False,False,False,1wJ0ufOAO_9ZrjzOy337L2DsywsOgEFUae8kAFFQYAy9VWdm6R8X41-E5_xZ3KRCHgi3V85OotU0fw
