leagueId,queueType,tier,rank,summonerId,summonerName,leaguePoints,wins,losses,veteran,inactive,freshBlood,hotStreak,miniSeries,puuid
dbc976e9-507a-4905-9dc6-c84438e71bee,RANKED_SOLO_5x5,DIAMOND,I,C2FeYSfBRMlEXhH0HjGGat1uZmwenQVpLEa4JzMsPSRA1Iw,카스카,5,119,88,False,False,False,False,,8TgMdXoLRltusMEtDjYYy47h4QflowZoncU81-mrK0SiMF_ZQX5lu67kHI0oMe1hGANUEc6N5jrUTQ
32f93462-fa60-4de1-84e4-7261b681bbad,RANKED_SOLO_5x5,DIAMOND,I,1k6pNOXCW5cBKY_OPDdUXWsHUQnhmCwZPidSNIKBn477ANE,섹시 룩,58,225,217,False,False,False,False,,kvKM5U3RMZbPYuQbQgF4WEW04SFDOr0fSMrfl7WjoceddZpPLYhw1LfHaG4Uj_bSGiwGGrOlx1ACfg
d326afe5-dbdf-430d-b6a7-2961cc919199,RANKED_SOLO_5x5,DIAMOND,I,cUDC-iPTVFQZrDOEhpECkJTKs0-_n9HqOd9qUh5CABNBkGc,플빼고시작할게요,75,302,267,True,False,False,False,,C4ucgKvtsWSZMlf0ST0WWtP_W3w0nuYxLYiwgxnmXWq5cFmPe8qMJuAlcA0mrFl5VnjGEsDsQmDMmg
914bc42f-8ad9-4bb4-90f8-db73f632466e,RANKED_SOLO_5x5,DIAMOND,I,ca0pEYuaW4Shd0p0vBOe3eCM8EXLGqVNPF1sai24sV7RHTI,혁 웬,33,320,307,False,False,False,True,,UiJHvuzWTCos5dHYY3FBUnL4sPhp8ORqmuq6E9mkFN9nPyue5U8sRlJqpqRIs-tJhmXZK7fwyVhPKg
e6d69db0-b612-491f-b43c-c2098181e4ce,RANKED_SOLO_5x5,DIAMOND,I,bu3LLWLZWEC0uicSt71zhnPD2pmZNu3KMCb0MwmtpWd8w9Q,lovabley,75,114,89,True,False,False,False,,dE-WP05VN_q2sbkKZHBDEXCaMzFClXuVC4AZQf5AA6k0lbp6cGPvW9VsSQEuwFkvT48cSTCJtHFmUg
8327428f-6d8b-4e08-ac96-6aa5d537e5cc,RANKED_SOLO_5x5,DIAMOND,I,YgeJzyzrpepo82l2IATGF83UdiFXBIEflo8_CAVDiNid4g,쌍 매,75,145,117,False,False,False,False,,mxsbWKVfk7mDS78hOqL1qr9yLZ4jNNX44plpjaFucDWyZGfEQNykV5uxdmzWmwQEi-K56rP7W_l7Ow
57277155-56bd-4042-8c9a-ce4d36d26f63,RANKED_SOLO_5x5,DIAMOND,I,XgLV6EXYEP55eACnLWy-KPvKpuW-wW08k8QC4MfAHGlTk3s,은평누타운,0,98,65,False,False,False,False,,lnuFOyERDgzrdz5F33NTf89ue_izwmZPrcIEmj5oSCRWrZxBPYqiLZyo4dvEbtkex6qTRKYBix3mDw
406d3ee5-c1e3-4537-8fb1-ed5251c1959d,RANKED_SOLO_5x5,DIAMOND,I,V8sEGPIAsUI77-hvZMwoaLd7FAQY0Lz0UMBRxRhcU6ROiyc,4isling,14,371,360,False,False,False,True,,yYVRhR1DwAqo9thBDe8TUOKZ_WSNvLB634a4U1-udk_qyyQRrCM4nzxjFqAknOdrWSGDIku58iHKyw
b97233c2-38bf-48ea-b3b2-406050882f6a,RANKED_SOLO_5x5,DIAMOND,I,C9mpArx4RTHRmJfzkOs8n2lTwB2YjUrxebBxaN8MZA-2Lqk,귀여운황도,60,105,47,False,False,False,True,,7teKoKsnvXVRbKAz0bTxtNoysro7A-Lo1BS29_CfRpHr6NIZt3vQUC9SVzzsne0is2dUlFcSPJi2Rg
4c45a209-effc-46cf-9255-7d834dfb2f37,RANKED_SOLO_5x5,DIAMOND,I,jbWj4ciVRac7SK-jDUO5OKaHtvi0dQfuieD8JioD5F1PHA,대포잘먹는아이디,34,454,406,False,False,False,False,,GPquvv6ABV2ocS4ctj-JrN3Eb6MGCU32XgNC0i1mkyBsylh6vcx4oMLdiXL668ScQDMwqEPQGJ2FEA
64862e66-4d0e-46f9-bcfe-2c69a3c93202,RANKED_SOLO_5x5,DIAMOND,I,qKYakHzW_Jowlb5Wc1dSjpZ47j3SWOtQ0603yrcwSsradsA,조같으면 박음,49,548,552,False,False,False,False,,Dzky9gjQiuy2uYLTS33SUmeIrZPvyVIvnhuHDKAwrrXi4eDLkyaIzb8Vz1PM89_1uBlmoDu2F7yLig
